C0000100,C0000200,birth_year,survey_year,age,n_items_observed,any_qualifying_event,positive_items,item_codes,item_families,in_age_window_15_25,pre_predictor_cutoff
5801,58.0,1981.0,2010,29.0,1,0.0,0.0,Y2609100,physical_fight,False,False
5802,58.0,1984.0,2000,16.0,1,0.0,0.0,Y1176200,physical_fight,True,False
5802,58.0,1984.0,2004,20.0,1,0.0,0.0,Y1668200,physical_fight,True,False
5802,58.0,1984.0,2006,22.0,1,0.0,0.0,Y1941500,physical_fight,True,False
5802,58.0,1984.0,2008,24.0,1,0.0,0.0,Y2257500,physical_fight,True,False
5802,58.0,1984.0,2010,26.0,1,0.0,0.0,Y2609100,physical_fight,False,False
5802,58.0,1984.0,2012,28.0,1,0.0,0.0,Y2959200,physical_fight,False,False
5803,58.0,1988.0,2004,16.0,1,0.0,0.0,Y1667300,hurt_physically,True,False
5803,58.0,1988.0,2008,20.0,1,0.0,0.0,Y2257500,physical_fight,True,False
5803,58.0,1988.0,2010,22.0,1,0.0,0.0,Y2609100,physical_fight,True,False
6101,61.0,1993.0,2008,15.0,1,0.0,0.0,Y2256600,hurt_physically,True,False
6101,61.0,1993.0,2010,17.0,1,0.0,0.0,Y2608200,hurt_physically,True,False
6101,61.0,1993.0,2012,19.0,1,0.0,0.0,Y2959200,physical_fight,True,False
6102,61.0,1994.0,2010,16.0,1,1.0,1.0,Y2608200,hurt_physically,True,False
6102,61.0,1994.0,2012,18.0,1,0.0,0.0,Y2959200,physical_fight,True,False
6103,61.0,2003.0,2016,13.0,1,0.0,0.0,Y3670801,hurt_physically,False,True
6103,61.0,2003.0,2018,15.0,1,0.0,0.0,Y4275601,hurt_physically,True,False
6103,61.0,2003.0,2020,17.0,1,0.0,0.0,Y4596801,hurt_physically,True,False
6201,62.0,1996.0,2012,16.0,1,0.0,0.0,Y2958300,hurt_physically,True,False
6202,62.0,1998.0,2014,16.0,1,0.0,0.0,Y3325701,hurt_physically,True,False
6203,62.0,2001.0,2016,15.0,1,0.0,0.0,Y3670801,hurt_physically,True,False
6203,62.0,2001.0,2018,17.0,1,0.0,0.0,Y4275601,hurt_physically,True,False
6801,68.0,1993.0,2008,15.0,1,0.0,0.0,Y2256600,hurt_physically,True,False
